dataset,method,config,accuracy,kappa_m,n_instances,filename
gassensor,SoftReset,soft_reset_abc_proj_rl1_adwin,0.969518,0.961104,13910,NeuralARTE_gassensor_soft_reset_abc_proj_rl1_adwin_s123456789_20260417_222258.csv
gassensor,SoftReset,soft_reset_abc_proj_rl1_nodrift,0.959166,0.947895,13910,NeuralARTE_gassensor_soft_reset_abc_proj_rl1_nodrift_s123456789_20260418_022132.csv
gassensor,SoftReset,soft_reset_abc_rl1_adwin,0.968440,0.959728,13910,NeuralARTE_gassensor_soft_reset_abc_rl1_adwin_s123456789_20260405_234045.csv
gassensor,SoftReset,soft_reset_abc_rl1_nodrift,0.957081,0.945234,13910,NeuralARTE_gassensor_soft_reset_abc_rl1_nodrift_s123456789_20260418_022026.csv
gassensor,SoftReset,soft_reset_current_rl1_adwin,0.893817,0.864508,13910,NeuralARTE_gassensor_soft_reset_current_rl1_adwin_s123456789_20260419_171211.csv
gassensor,SoftReset,soft_reset_current_rl1_nodrift,0.915744,0.892487,13910,NeuralARTE_gassensor_soft_reset_current_rl1_nodrift_s123456789_20260418_022036.csv
gmsc,SoftReset,soft_reset_abc_cnn_rl1_adwin,0.910067,-0.345502,150000,NeuralARTE_gmsc_soft_reset_abc_cnn_rl1_adwin_s123456789_20260418_000421.csv
gmsc,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.907533,-0.383403,150000,NeuralARTE_gmsc_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260418_211141.csv
gmsc,SoftReset,soft_reset_abc_rl1_adwin,0.909127,-0.359565,150000,NeuralARTE_gmsc_soft_reset_abc_rl1_adwin_s123456789_20260405_235150.csv
gmsc,SoftReset,soft_reset_current_rl1_adwin,0.891293,-0.626371,150000,NeuralARTE_gmsc_soft_reset_current_rl1_adwin_s123456789_20260417_224704.csv
led_a,SoftReset,soft_reset_current_rl1_adwin,0.719462,0.688003,1000000,NeuralARTE_led_a_soft_reset_current_rl1_adwin_s123456789_20260418_113727.csv
led_g,SoftReset,soft_reset_current_rl1_adwin,0.711177,0.678792,1000000,NeuralARTE_led_g_soft_reset_current_rl1_adwin_s123456789_20260418_113727.csv
mixed_a,SoftReset,soft_reset_current_rl1_adwin,0.978597,0.957194,1000000,NeuralARTE_mixed_a_soft_reset_current_rl1_adwin_s123456789_20260419_055633.csv
mixed_g,SoftReset,soft_reset_abc_proj_rl1_adwin,0.847794,0.695587,1000000,NeuralARTE_mixed_g_soft_reset_abc_proj_rl1_adwin_s123456789_20260419_055634.csv
outdoor,SoftReset,soft_reset_abc_cnn_rl1_adwin,0.846250,0.842308,4000,NeuralARTE_outdoor_soft_reset_abc_cnn_rl1_adwin_s123456789_20260417_223236.csv
outdoor,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.849250,0.845385,4000,NeuralARTE_outdoor_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260418_204651.csv
outdoor,SoftReset,soft_reset_abc_proj_rl1_adwin,0.853750,0.850000,4000,NeuralARTE_outdoor_soft_reset_abc_proj_rl1_adwin_s123456789_20260417_222257.csv
outdoor,SoftReset,soft_reset_abc_proj_rl1_nodrift,0.854000,0.850256,4000,NeuralARTE_outdoor_soft_reset_abc_proj_rl1_nodrift_s123456789_20260418_001001.csv
outdoor,SoftReset,soft_reset_abc_rl1_adwin,0.853750,0.850000,4000,NeuralARTE_outdoor_soft_reset_abc_rl1_adwin_s123456789_20260405_233843.csv
outdoor,SoftReset,soft_reset_abc_rl1_nodrift,0.853750,0.850000,4000,NeuralARTE_outdoor_soft_reset_abc_rl1_nodrift_s123456789_20260418_000952.csv
outdoor,SoftReset,soft_reset_current_rl1_adwin,0.850250,0.846410,4000,NeuralARTE_outdoor_soft_reset_current_rl1_adwin_s123456789_20260419_171208.csv
outdoor,SoftReset,soft_reset_current_rl1_nodrift,0.850000,0.846154,4000,NeuralARTE_outdoor_soft_reset_current_rl1_nodrift_s123456789_20260418_001022.csv
ozone,SoftReset,soft_reset_abc_cnn_rl1_adwin,0.931334,-0.087500,2534,NeuralARTE_ozone_soft_reset_abc_cnn_rl1_adwin_s123456789_20260417_223131.csv
ozone,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.932912,-0.062500,2534,NeuralARTE_ozone_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260418_204651.csv
ozone,SoftReset,soft_reset_abc_proj_rl1_adwin,0.929361,-0.118750,2534,NeuralARTE_ozone_soft_reset_abc_proj_rl1_adwin_s123456789_20260419_151833.csv
ozone,SoftReset,soft_reset_abc_proj_rl1_nodrift,0.940016,0.050000,2534,NeuralARTE_ozone_soft_reset_abc_proj_rl1_nodrift_s123456789_20260418_001011.csv
